Original_ID	Original_Description	Mapping	Original_Index	Cluster_Center_Boolean	MetaGeneSet	MetaGeneSet_Description
KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA	1	60	True	KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA
KEGG_ERBB_SIGNALING_PATHWAY	KEGG_ERBB_SIGNALING_PATHWAY	1	170	False	KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA
KEGG_COLORECTAL_CANCER	KEGG_COLORECTAL_CANCER	1	123	False	KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA
KEGG_RENAL_CELL_CARCINOMA	KEGG_RENAL_CELL_CARCINOMA	1	121	False	KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA
KEGG_NON_SMALL_CELL_LUNG_CANCER	KEGG_NON_SMALL_CELL_LUNG_CANCER	1	24	False	KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA
KEGG_PROSTATE_CANCER	KEGG_PROSTATE_CANCER	1	38	False	KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	1	145	False	KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA
KEGG_SMALL_CELL_LUNG_CANCER	KEGG_SMALL_CELL_LUNG_CANCER	1	51	False	KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA
ENSG00000154447	SH3RF1 PPI subnetwork	1	6858	False	KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER	1	92	False	KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA
KEGG_ENDOMETRIAL_CANCER	KEGG_ENDOMETRIAL_CANCER	1	102	False	KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA
ENSG00000137193	PIM1 PPI subnetwork	1	8543	False	KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER	1	134	False	KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA
KEGG_PANCREATIC_CANCER	KEGG_PANCREATIC_CANCER	1	65	False	KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA
GO:0000428	DNA-directed RNA polymerase complex	2	3758	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
ENSG00000206429	ENSG00000206429 PPI subnetwork	2	8324	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
GO:0016779	nucleotidyltransferase activity	2	2694	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
GO:0003899	DNA-directed RNA polymerase activity	2	3265	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
ENSG00000179632	MAF1 PPI subnetwork	2	8483	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
ENSG00000161980	POLR3K PPI subnetwork	2	8126	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
REACTOME_REGULATORY_RNA_PATHWAYS	REACTOME_REGULATORY_RNA_PATHWAYS	2	4607	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
GO:0034062	RNA polymerase activity	2	3360	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE	2	86	True	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
ENSG00000206502	ZNRD1 PPI subnetwork	2	4730	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
ENSG00000186193	C9orf140 PPI subnetwork	2	7755	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION	REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION	2	4603	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
GO:0055029	nuclear DNA-directed RNA polymerase complex	2	3523	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
ENSG00000126522	ASL PPI subnetwork	2	9413	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
GO:0030880	RNA polymerase complex	2	3543	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
REACTOME_RNA_POLYMERASE_III_CHAIN_ELONGATION	REACTOME_RNA_POLYMERASE_III_CHAIN_ELONGATION	2	4406	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
GO:0006385	transcription elongation from RNA polymerase III promoter	2	12804	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
GO:0006386	termination of RNA polymerase III transcription	2	12802	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
ENSG00000186184	POLR1D PPI subnetwork	2	8179	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
ENSG00000066379	ZNRD1 PPI subnetwork	2	10371	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
REACTOME_MICRORNA_MIRNA_BIOGENESIS	REACTOME_MICRORNA_MIRNA_BIOGENESIS	2	4030	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
ENSG00000137054	POLR1E PPI subnetwork	2	4918	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
ENSG00000113356	POLR3G PPI subnetwork	2	9445	False	KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	3	94	False	KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM
KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM	3	89	True	KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM
GO:0052745	inositol phosphate phosphatase activity	3	3427	False	KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM
GO:0004437	inositol or phosphatidylinositol phosphatase activity	3	3003	False	KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM
GO:0034593	phosphatidylinositol bisphosphate phosphatase activity	3	2830	False	KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM
obsolete_molecular_function	obsolete_molecular_function	3	3329	False	KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM
GO:0016307	phosphatidylinositol phosphate kinase activity	3	3046	False	KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM
ENSG00000105402	NAPA PPI subnetwork	4	4899	False	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT
ENSG00000124333	VAMP7 PPI subnetwork	4	7680	False	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT
GO:0005484	SNAP receptor activity	4	3060	False	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT
ENSG00000139190	VAMP1 PPI subnetwork	4	7787	False	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	4	100	True	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT
REACTOME_PROTEOLYTIC_CLEAVAGE_OF_SNARE_COMPLEX_PROTEINS	REACTOME_PROTEOLYTIC_CLEAVAGE_OF_SNARE_COMPLEX_PROTEINS	4	4540	False	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT
ENSG00000092531	SNAP23 PPI subnetwork	4	5460	False	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT
ENSG00000100568	VTI1B PPI subnetwork	4	4747	False	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT
ENSG00000179036	ENSG00000179036 PPI subnetwork	4	10152	False	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT
REACTOME_BOTULINUM_NEUROTOXICITY	REACTOME_BOTULINUM_NEUROTOXICITY	4	4354	False	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT
ENSG00000099940	SNAP29 PPI subnetwork	4	10208	False	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT
ENSG00000197312	DDI2 PPI subnetwork	4	5002	False	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT
ENSG00000138030	KHK PPI subnetwork	4	7390	False	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT
GO:0031201	SNARE complex	4	3732	False	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT
ENSG00000049245	VAMP3 PPI subnetwork	4	7693	False	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT
ENSG00000135823	STX6 PPI subnetwork	4	9005	False	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT
ENSG00000104915	STX10 PPI subnetwork	4	10148	False	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT
GO:0042147	retrograde transport, endosome to Golgi	4	14041	False	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT
ENSG00000117533	VAMP4 PPI subnetwork	4	4792	False	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT
MP:0008114	abnormal Kupffer cell morphology	5	580	False	KEGG_LYSOSOME	KEGG_LYSOSOME
ENSG00000064601	CTSA PPI subnetwork	5	9922	False	KEGG_LYSOSOME	KEGG_LYSOSOME
GO:0005773	vacuole	5	3810	False	KEGG_LYSOSOME	KEGG_LYSOSOME
ENSG00000197081	IGF2R PPI subnetwork	5	8093	False	KEGG_LYSOSOME	KEGG_LYSOSOME
ENSG00000178585	CTNNBIP1 PPI subnetwork	5	4827	False	KEGG_LYSOSOME	KEGG_LYSOSOME
GO:0043202	lysosomal lumen	5	3609	False	KEGG_LYSOSOME	KEGG_LYSOSOME
MP:0005277	abnormal brainstem morphology	5	347	False	KEGG_LYSOSOME	KEGG_LYSOSOME
MP:0002001	blindness	5	1811	False	KEGG_LYSOSOME	KEGG_LYSOSOME
REACTOME_GLYCOSPHINGOLIPID_METABOLISM	REACTOME_GLYCOSPHINGOLIPID_METABOLISM	5	4071	False	KEGG_LYSOSOME	KEGG_LYSOSOME
MP:0003172	abnormal lysosome physiology	5	578	False	KEGG_LYSOSOME	KEGG_LYSOSOME
ENSG00000127526	SLC35E1 PPI subnetwork	5	10583	False	KEGG_LYSOSOME	KEGG_LYSOSOME
MP:0005058	abnormal lysosome morphology	5	2183	False	KEGG_LYSOSOME	KEGG_LYSOSOME
GO:0005774	vacuolar membrane	5	3811	False	KEGG_LYSOSOME	KEGG_LYSOSOME
KEGG_LYSOSOME	KEGG_LYSOSOME	5	115	True	KEGG_LYSOSOME	KEGG_LYSOSOME
GO:0000323	lytic vacuole	5	3558	False	KEGG_LYSOSOME	KEGG_LYSOSOME
GO:0005775	vacuolar lumen	5	3812	False	KEGG_LYSOSOME	KEGG_LYSOSOME
ENSG00000186318	BACE1 PPI subnetwork	5	5299	False	KEGG_LYSOSOME	KEGG_LYSOSOME
MP:0000876	Purkinje cell degeneration	5	1856	False	KEGG_LYSOSOME	KEGG_LYSOSOME
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	5	66	False	KEGG_LYSOSOME	KEGG_LYSOSOME
GO:0005765	lysosomal membrane	5	3837	False	KEGG_LYSOSOME	KEGG_LYSOSOME
MP:0001407	short stride length	5	409	False	KEGG_LYSOSOME	KEGG_LYSOSOME
GO:0044437	vacuolar part	5	3943	False	KEGG_LYSOSOME	KEGG_LYSOSOME
ENSG00000117984	CTSD PPI subnetwork	5	6668	False	KEGG_LYSOSOME	KEGG_LYSOSOME
GO:0007040	lysosome organization	5	11076	False	KEGG_LYSOSOME	KEGG_LYSOSOME
GO:0005537	mannose binding	5	2978	False	KEGG_LYSOSOME	KEGG_LYSOSOME
GO:0005764	lysosome	5	3839	False	KEGG_LYSOSOME	KEGG_LYSOSOME
MP:0002446	abnormal macrophage morphology	5	2276	False	KEGG_LYSOSOME	KEGG_LYSOSOME
ENSG00000129757	CDKN1C PPI subnetwork	6	9304	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
ENSG00000198625	MDM4 PPI subnetwork	6	8387	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
ENSG00000124762	CDKN1A PPI subnetwork	6	7327	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY	6	99	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
ENSG00000145604	SKP2 PPI subnetwork	6	5298	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
MP:0005621	abnormal cell physiology	6	868	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
ENSG00000158402	CDC25C PPI subnetwork	6	5316	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
ENSG00000145386	CCNA2 PPI subnetwork	6	4868	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
ENSG00000135446	CDK4 PPI subnetwork	6	8913	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	6	146	True	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
ENSG00000198791	CNOT7 PPI subnetwork	6	10601	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
ENSG00000147082	CCNB3 PPI subnetwork	6	9902	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
ENSG00000111328	CDK2AP1 PPI subnetwork	6	9953	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
ENSG00000101412	E2F1 PPI subnetwork	6	6929	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
MP:0004045	abnormal cell cycle checkpoint function	6	1075	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
MP:0008014	increased lung tumor incidence	6	1720	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	6	4655	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
MP:0003077	abnormal cell cycle	6	1070	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
REACTOME_G0_AND_EARLY_G1	REACTOME_G0_AND_EARLY_G1	6	4203	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
ENSG00000101224	CDC25B PPI subnetwork	6	6085	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
MP:0001648	abnormal apoptosis	6	1444	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
ENSG00000080839	RBL1 PPI subnetwork	6	9621	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
ENSG00000164045	CDC25A PPI subnetwork	6	10236	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
ENSG00000147889	CDKN2A PPI subnetwork	6	8291	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
ENSG00000111276	CDKN1B PPI subnetwork	6	5280	False	KEGG_CELL_CYCLE	KEGG_CELL_CYCLE
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	7	154	True	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
MP:0000598	abnormal liver morphology	7	1880	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
ENSG00000175899	A2M PPI subnetwork	7	5618	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
MP:0003103	liver degeneration	7	2245	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
ENSG00000117601	SERPINC1 PPI subnetwork	7	10088	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
MP:0001656	focal hepatic necrosis	7	1908	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
ENSG00000106804	C5 PPI subnetwork	7	7883	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
GO:0043498	cell surface binding	7	2920	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
ENSG00000132703	APCS PPI subnetwork	7	4915	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
MP:0002168	other aberrant phenotype	7	987	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
ENSG00000104368	PLAT PPI subnetwork	7	8202	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
ENSG00000039537	C6 PPI subnetwork	7	6868	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
ENSG00000112936	C7 PPI subnetwork	7	7904	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
MP:0003333	liver fibrosis	7	975	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
ENSG00000164344	KLKB1 PPI subnetwork	7	9537	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
KEGG_PRION_DISEASES	KEGG_PRION_DISEASES	7	7	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
ENSG00000149131	SERPING1 PPI subnetwork	7	5951	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
MP:0005023	abnormal wound healing	7	1535	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
ENSG00000122194	PLG PPI subnetwork	7	5837	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
MP:0005416	abnormal circulating protein level	7	2249	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
MP:0006050	pulmonary fibrosis	7	1357	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
ENSG00000188488	SERPINA5 PPI subnetwork	7	8013	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
ENSG00000125730	C3 PPI subnetwork	7	7186	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
ENSG00000167751	KLK2 PPI subnetwork	7	10639	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
ENSG00000126218	F10 PPI subnetwork	7	6964	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
ENSG00000132693	CRP PPI subnetwork	7	10260	False	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	8	58	False	KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE	8	157	False	KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION
KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS	8	2	False	KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION
MP:0001793	altered susceptibility to infection	8	2230	False	KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION
KEGG_TYPE_I_DIABETES_MELLITUS	KEGG_TYPE_I_DIABETES_MELLITUS	8	48	False	KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION
